 , , , , Group 0, , , , , , , Group 1, , , , , , , Group 2, , , , , , , Group 3, , , , , , , Group 4, , ,
time, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, HF_freq, LF_freq, HM_freq, LM_freq, F_avg_payoff, M_avg_payoff, Group_payoff, 
0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 
500, 0.5, 0.5, 0.56, 0.44, 0.051882, 0.0656406, 37, 0.52, 0.48, 0.52, 0.48, 0.044718, 0.057978, 40, 0.48, 0.52, 0.6, 0.4, 0.03924, 0.060282, 36, 0.48, 0.52, 0.52, 0.48, 0.055404, 0.059424, 47, 0.5, 0.5, 0.54, 0.46, 0.041742, 0.03954, 32, 
1000, 0.52, 0.48, 0.56, 0.44, 0.0751548, 0.118054, 76, 0.5, 0.5, 0.6, 0.4, 0.0698528, 0.119694, 79, 0.46, 0.54, 0.6, 0.4, 0.076458, 0.106476, 72, 0.52, 0.48, 0.5, 0.5, 0.093695, 0.109123, 91, 0.5, 0.5, 0.58, 0.42, 0.085607, 0.074478, 64, 
1500, 0.56, 0.44, 0.54, 0.46, 0.0934237, 0.141965, 114, 0.5, 0.5, 0.6, 0.4, 0.0978735, 0.152589, 120, 0.48, 0.52, 0.6, 0.4, 0.103771, 0.150062, 116, 0.52, 0.48, 0.5, 0.5, 0.111219, 0.142174, 131, 0.44, 0.56, 0.58, 0.42, 0.131596, 0.111573, 106, 
2000, 0.6, 0.4, 0.54, 0.46, 0.11505, 0.165608, 156, 0.48, 0.52, 0.62, 0.38, 0.117852, 0.176888, 158, 0.46, 0.54, 0.62, 0.38, 0.132827, 0.21856, 170, 0.6, 0.4, 0.52, 0.48, 0.136749, 0.145821, 163, 0.44, 0.56, 0.66, 0.34, 0.15221, 0.148563, 149, 
2500, 0.62, 0.38, 0.56, 0.44, 0.130499, 0.190445, 195, 0.5, 0.5, 0.64, 0.36, 0.143002, 0.204741, 208, 0.48, 0.52, 0.64, 0.36, 0.147774, 0.238414, 205, 0.64, 0.36, 0.52, 0.48, 0.162153, 0.166396, 201, 0.42, 0.58, 0.68, 0.32, 0.160706, 0.167725, 183, 
3000, 0.62, 0.38, 0.6, 0.4, 0.16186, 0.21311, 239, 0.52, 0.48, 0.7, 0.3, 0.157045, 0.227828, 250, 0.48, 0.52, 0.68, 0.32, 0.166961, 0.225118, 241, 0.68, 0.32, 0.52, 0.48, 0.183529, 0.177955, 234, 0.48, 0.52, 0.62, 0.38, 0.16576, 0.215468, 227, 
3500, 0.64, 0.36, 0.62, 0.38, 0.16602, 0.219434, 274, 0.5, 0.5, 0.7, 0.3, 0.164486, 0.247556, 285, 0.52, 0.48, 0.7, 0.3, 0.179459, 0.229639, 284, 0.68, 0.32, 0.5, 0.5, 0.195127, 0.180316, 269, 0.5, 0.5, 0.72, 0.28, 0.166238, 0.222701, 262, 
4000, 0.66, 0.34, 0.66, 0.34, 0.186052, 0.217977, 309, 0.54, 0.46, 0.74, 0.26, 0.178055, 0.251324, 323, 0.54, 0.46, 0.74, 0.26, 0.196066, 0.247522, 334, 0.68, 0.32, 0.5, 0.5, 0.222066, 0.196952, 307, 0.54, 0.46, 0.78, 0.22, 0.17378, 0.230772, 302, 
